label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
21361,CurbRamp,12403,1024631193,7,UV 42,2025-05-01T00:00Z,2025-10-18T18:56:24.167Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1735,-70.742836
21362,CurbRamp,103,35037906,7,UV 42,2025-05-01T00:00Z,2025-10-08T01:35:29.675Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168987,-70.741905
21363,CurbRamp,103,35037906,7,UV 42,2012-10-01T00:00Z,2025-10-08T01:19:45.630Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.169987,-70.74217
21364,CurbRamp,13004,1192522101,7,UV 42,2025-03-31T12:00Z,2025-10-11T22:45:44.664500Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168595,-70.744555
21365,CurbRamp,8520,474024847,7,UV 42,2025-03-01T00:00Z,2025-10-10T13:30:48.447500Z,2,1,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1687925,-70.743275
21366,CurbRamp,9651,563718720,7,UV 42,2025-03-31T12:00Z,2025-10-08T01:41:40.104500Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167805,-70.7417
21367,CurbRamp,9651,563718720,7,UV 42,2025-05-01T00:00Z,2025-10-12T01:50:11.074Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167686,-70.742966
21368,CurbRamp,53,35037897,7,UV 42,2024-04-15T12:00Z,2025-10-06T23:06:17.152Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1665365,-70.742745
21369,CurbRamp,99,35037906,7,UV 42,2025-05-01T00:00Z,2025-10-09T01:13:36.621Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166767,-70.74143
21370,CurbRamp,53,35037897,7,UV 42,2025-03-01T00:00Z,2025-10-06T23:00:21.723Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166702,-70.74148
21371,CurbRamp,86,35037903,7,UV 42,2025-03-31T12:00Z,2025-10-09T07:56:58.487500Z,1,3,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16626,-70.744135
21372,CurbRamp,8523,474024847,7,UV 42,2025-03-31T12:00Z,2025-09-08T00:51:25.260500Z,1,4,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1654025,-70.742565
21373,CurbRamp,13360,1418633546,7,UV 42,2025-05-01T00:00Z,2025-10-06T22:52:04.559Z,1,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165333,-70.742516
21374,CurbRamp,13363,1418633549,7,UV 42,2025-05-01T00:00Z,2025-09-08T00:48:33.583Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165348,-70.74265
21375,CurbRamp,9654,563718720,7,UV 42,2025-03-31T12:00Z,2025-10-12T01:42:02.317Z,2,1,1,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167465,-70.74447
21376,CurbRamp,89,35037903,7,UV 42,2025-03-31T12:00Z,2025-10-11T22:47:56.558Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168546,-70.74464
